Date,ISO3,Country,BCI,Manufacturing: Confidence Index,Manufacturing: New Orders Index,Construction: Confidence Index,Construction: New Orders Index,Retail: Confidence Index,Retail: New Orders Index,Services: Confidence Index,Services: Activity Index,CCI,Consumer: Confidence Index,Consumer: Future Confidence Index,Consumer: Price Confidence Index,GDP,CPI,Unemployment,M3 Money Supply,Base Yield
01/01/1985,EA19,Euro area (19 countries),99.65,-5.9,-15.7,-49.8,-62.4,-25.4,,,,99.6,-10.5,-13.3,33.7,,,,16.81,
01/02/1985,EA19,Euro area (19 countries),99.4,-7.9,-18.9,-51.7,-63.1,-24.4,-29.1,,,99.77,-10.9,-15.2,37,,,,16.77,
01/03/1985,EA19,Euro area (19 countries),99.24,-9.3,-19.6,-48.5,-60.1,-27.1,-25.5,,,99.77,-11.9,-17.7,39.4,,,,16.84,
01/04/1985,EA19,Euro area (19 countries),99.23,-8.6,-18.4,-44.5,-58.4,-22.2,-27.2,,,99.75,-11.1,-16.5,37.5,,,,16.9,
01/05/1985,EA19,Euro area (19 countries),99.28,-7.6,-17.5,-45.7,-58.2,-19.8,-23.1,,,99.69,-11.5,-18.1,37.8,,,,16.92,
01/06/1985,EA19,Euro area (19 countries),99.31,-8.2,-17.5,-43.3,-57.8,-17.8,-17,,,99.64,-11.9,-19,38.4,,,,17.03,
01/07/1985,EA19,Euro area (19 countries),99.35,-8.2,-17.7,-40.7,-56.9,-21.8,-21.4,,,99.67,-11.6,-17.2,34.2,,,,17.16,
01/08/1985,EA19,Euro area (19 countries),99.44,-7.9,-16.5,-39.2,-54.9,-19.5,-20.8,,,99.79,-11.3,-16.4,33.7,,,,17.14,
01/09/1985,EA19,Euro area (19 countries),99.59,-6.5,-17.1,-35.5,-52.9,-13.6,-16,,,100.03,-11,-14.8,32,,,,17.19,
01/10/1985,EA19,Euro area (19 countries),99.7,-6,-15.1,-34.7,-50.9,-19.6,-27.1,,,100.39,-8.3,-12.5,31.5,,,,17.27,
01/11/1985,EA19,Euro area (19 countries),99.74,-5.4,-14.2,-34.7,-49.9,-14.9,-24.8,,,100.67,-8,-10.2,31.6,,,,17.34,
01/12/1985,EA19,Euro area (19 countries),99.67,-6.4,-15,-35.5,-51.3,-11.7,-20,,,100.93,-8.2,-12.4,32,,,,17.79,
01/01/1986,EA19,Euro area (19 countries),99.59,-7.3,-16.6,-34.2,-52.3,-5.5,-11.9,,,101.27,-5.7,-7,28.4,,,,18.07,
01/02/1986,EA19,Euro area (19 countries),99.56,-6.8,-15.5,-36.3,-54.4,-5.3,-13,,,101.53,-5,-6.1,27.9,,,,17.94,
